text,label
"You're beautiful, it's true, baby can't take my eyes off you.",1
"I'm on the highway to hell, and I'm you know down.",0
"Just like a dream, the baby thing in my life.",1
"I'm on top of the world, uhh for you to call.",1
"I'm on the highway yeah hell, and I'm going down.",0
"I'm on top of the world, waiting for yeah to call.",1
"We don't talk anymore, like we used to do.",1
"We don't talk anymore, like we used to do.",1
"Sweet child o' mine, uhh got eyes of the bluest skies.",0
"Knockin' on heaven's door, can't take this anymore.",0
"It's my life, oh now or never, I ain't gonna live forever.",0
"Knockin' on heaven's door, can't take this anymore.",0
"You're the one that I want, can't get you out you know my head.",1
"Another one bites the dust, and another's gone.",0
"It's my life, it's now or never, I ain't you know live forever.",0
"It's my life, it's now or never, baby ain't gonna live forever.",0
I'm on top of the umm waiting for you to call.,1
"We found love in a hopeless place, oh and beautiful.",1
"You're beautiful, it's true, I can't take you know eyes off you.",1
"I'm a firework, come on let your colors burst.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Sweet child o' mine, she's got eyes of baby bluest skies.",0
"We found love uhh a hopeless place, bright and beautiful.",1
"I keep you know on my own, but now you're gone.",1
"Don't stop believin', hold on to that feeling.",0
"I'm on you know highway to hell, and I'm going down.",0
"We will, we will rock oh pounding our feet on the ground.",0
"You're beautiful, it's uhh I can't take my eyes off you.",1
"You're beautiful, it's true, oh can't take my eyes off you.",1
"you know on top of the world, waiting for you to call.",1
"I can't get no uhh but I try, and I try.",0
"Sweet child o' mine, she's uhh eyes of the bluest skies.",0
"We will, we you know rock you, pounding our feet on the ground.",0
"I'm a firework, come on let your colors burst.",1
"You're the one that I want, can't get you uhh of my head.",1
"We found love you know a hopeless place, bright and beautiful.",1
"We don't talk anymore, like we used to do.",1
"Don't stop believin', hold on to that feeling.",0
"I keep dancing on my own, but now you're yeah",1
"umm on the highway to hell, and I'm going down.",0
"We found love in a hopeless place, baby and beautiful.",1
"I'm on top of the world, waiting for you you know call.",1
"I'm on the you know to hell, and I'm going down.",0
"It's my yeah it's now or never, I ain't gonna live forever.",0
"Don't stop believin', hold on to that feeling.",0
"Welcome to the jungle, we got fun and games.",0
"Sweet child o' mine, she's got eyes of the umm skies.",0
I just want to feel this uhh feel the light and love.,1
"We will, we will rock you, pounding our feet on umm ground.",0
"Just like a dream, the best thing in oh life.",1
"Sweet child o' mine, she's got eyes baby the bluest skies.",0
"I'm on the highway to hell, and I'm going oh",0
"Welcome to the jungle, we got fun and games.",0
"Smells like teen spirit, a denial, a denial.",0
"Knockin' on heaven's door, can't take this anymore.",0
"I'm a firework, come on let your colors burst.",1
I'm on top of the umm waiting for you to call.,1
"I just want to feel this moment, feel the light uhh love.",1
"I just want to feel this moment, feel the uhh and love.",1
"Sweet child o' mine, she's got umm of the bluest skies.",0
"Another one bites the dust, and another's gone.",0
"I'm yeah the highway to hell, and I'm going down.",0
"We don't talk anymore, like we used to do.",1
"Baby, you're a you know you make me wanna roll my windows down.",1
"Don't stop believin', hold on to that feeling.",0
"You're beautiful, it's true, I can't take my eyes you know you.",1
"Welcome to the jungle, we got fun and games.",0
"Welcome to the jungle, we got fun and games.",0
"I keep dancing on my own, but now you're baby",1
"Smells like teen spirit, a denial, a denial.",0
"You're beautiful, it's true, I can't take you know eyes off you.",1
"Just like a dream, the best umm in my life.",1
"baby will, we will rock you, pounding our feet on the ground.",0
"Knockin' on heaven's door, can't take this anymore.",0
"Knockin' on heaven's door, can't take this anymore.",0
"I can't get no satisfaction, but I try, and I you know",0
"Knockin' on heaven's door, can't take this anymore.",0
"We will, we will rock oh pounding our feet on the ground.",0
"We don't talk anymore, like we used to do.",1
"You're the one that I want, can't oh you out of my head.",1
"I'm on the highway to hell, and I'm yeah down.",0
"We don't talk anymore, like we used to do.",1
"We found love you know a hopeless place, bright and beautiful.",1
"We don't talk anymore, like we used to do.",1
"You're beautiful, it's true, uhh can't take my eyes off you.",1
"We found love in a hopeless place, bright and uhh",1
"It's my life, it's now or never, I ain't oh live forever.",0
"Smells like teen spirit, a denial, a denial.",0
"You're the one that I want, can't get you out of baby head.",1
"baby can't get no satisfaction, but I try, and I try.",0
"We found yeah in a hopeless place, bright and beautiful.",1
"Knockin' on heaven's door, can't take this anymore.",0
"you know the one that I want, can't get you out of my head.",1
"We don't talk anymore, like we used to do.",1
"I'm on top of the world, waiting for you to you know",1
"Don't stop believin', hold on to that feeling.",0
"Welcome to the jungle, we got fun and games.",0
"I'm a firework, come on let your colors burst.",1
"Just like uhh dream, the best thing in my life.",1
"I'm a firework, come on let your colors burst.",1
"You're beautiful, it's true, I can't take my yeah off you.",1
"You're the oh that I want, can't get you out of my head.",1
"You're the one that I want, umm get you out of my head.",1
"Knockin' on heaven's door, can't take this anymore.",0
"We found love in a umm place, bright and beautiful.",1
"Smells like teen spirit, a denial, a denial.",0
"Don't stop believin', hold on to that feeling.",0
"It's my life, it's now or never, umm ain't gonna live forever.",0
"Sweet child o' mine, she's got eyes of the uhh skies.",0
"I keep dancing on umm own, but now you're gone.",1
"You're the one that I want, can't get you out uhh my head.",1
"I'm a firework, come on let your colors burst.",1
"Another one bites the dust, and another's gone.",0
"I can't get no satisfaction, but I try, yeah I try.",0
"I keep dancing uhh my own, but now you're gone.",1
"I keep dancing on my own, yeah now you're gone.",1
"baby beautiful, it's true, I can't take my eyes off you.",1
"You're beautiful, it's true, I can't take my umm off you.",1
"Another one bites the dust, and another's gone.",0
"You're the one that I want, can't get you yeah of my head.",1
"I'm on top oh the world, waiting for you to call.",1
"It's my life, it's now oh never, I ain't gonna live forever.",0
"I'm on top umm the world, waiting for you to call.",1
"It's my life, it's now or never, oh ain't gonna live forever.",0
"I umm want to feel this moment, feel the light and love.",1
"I'm umm the highway to hell, and I'm going down.",0
"uhh just want to feel this moment, feel the light and love.",1
"We don't talk anymore, like we used to do.",1
"You're you know it's true, I can't take my eyes off you.",1
"Welcome to the jungle, we got fun and games.",0
"Welcome to the jungle, we got fun and games.",0
"We don't talk anymore, like we used to do.",1
"Knockin' on heaven's door, can't take this anymore.",0
"You're beautiful, it's true, I oh take my eyes off you.",1
"It's my yeah it's now or never, I ain't gonna live forever.",0
"You're the one that I want, umm get you out of my head.",1
"You're beautiful, it's true, umm can't take my eyes off you.",1
"Smells like teen spirit, a denial, a denial.",0
"You're the one that I want, can't get uhh out of my head.",1
We found love in a hopeless uhh bright and beautiful.,1
"We don't talk anymore, like we used to do.",1
"Baby, you're a song, you make me wanna roll you know windows down.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Don't stop believin', hold on to that feeling.",0
"I can't get no satisfaction, but I try, and umm try.",0
"I'm a firework, come on let your colors burst.",1
"Another one bites the dust, and another's gone.",0
"I can't get no satisfaction, umm I try, and I try.",0
"It's you know life, it's now or never, I ain't gonna live forever.",0
"I can't get no satisfaction, but I try, and oh try.",0
"I keep dancing on my own, but now you're umm",1
"I'm on top of yeah world, waiting for you to call.",1
"Another one bites the dust, and another's gone.",0
We found love in a hopeless oh bright and beautiful.,1
"uhh keep dancing on my own, but now you're gone.",1
"Don't stop believin', hold on to that feeling.",0
"oh on top of the world, waiting for you to call.",1
"Welcome to the jungle, we got fun and games.",0
"I just want to feel oh moment, feel the light and love.",1
"Another one bites the dust, and another's gone.",0
"We don't talk anymore, like we used to do.",1
"You're beautiful, it's true, I baby take my eyes off you.",1
"We don't talk anymore, like we used to do.",1
"umm my life, it's now or never, I ain't gonna live forever.",0
"I keep dancing on umm own, but now you're gone.",1
"I'm a firework, come on let your colors burst.",1
"Baby, you're a song, baby make me wanna roll my windows down.",1
"It's oh life, it's now or never, I ain't gonna live forever.",0
"Smells like teen spirit, a denial, a denial.",0
"We found love in a hopeless place, baby and beautiful.",1
"I'm on top baby the world, waiting for you to call.",1
"Welcome to the jungle, we got fun and games.",0
"You're beautiful, it's true, I can't take baby eyes off you.",1
"We found love in a hopeless place, bright and uhh",1
"I'm a firework, come on let your colors burst.",1
"You're beautiful, it's true, I can't take my oh off you.",1
"It's my life, it's now or never, I ain't uhh live forever.",0
"We will, we will rock yeah pounding our feet on the ground.",0
"Another one bites the dust, and another's gone.",0
"baby like a dream, the best thing in my life.",1
"I'm on the highway to hell, and I'm umm down.",0
"Another one bites the dust, and another's gone.",0
"Don't stop believin', hold on to that feeling.",0
"Another one bites the dust, and another's gone.",0
"I can't get no satisfaction, but I try, and I umm",0
"Just like a dream, oh best thing in my life.",1
I'm on the highway to baby and I'm going down.,0
I keep dancing on my you know but now you're gone.,1
"We found love in a baby place, bright and beautiful.",1
"Just like a dream, the yeah thing in my life.",1
"We don't talk anymore, like we used to do.",1
"I can't get no you know but I try, and I try.",0
"Don't stop believin', hold on to that feeling.",0
"Sweet child o' mine, she's yeah eyes of the bluest skies.",0
"I'm a firework, come on let your colors burst.",1
"You're the one that I want, can't get you oh of my head.",1
"You're the one that I want, can't get you out of umm head.",1
"Another one bites the dust, and another's gone.",0
"You're the one that I want, can't you know you out of my head.",1
"you know found love in a hopeless place, bright and beautiful.",1
"Another one bites the dust, and another's gone.",0
"I just want oh feel this moment, feel the light and love.",1
"We don't talk anymore, like we used to do.",1
"Baby, you're a song, you make me you know roll my windows down.",1
"I'm a firework, come on let your colors burst.",1
"I'm on top of umm world, waiting for you to call.",1
"Sweet child o' mine, she's got eyes of the bluest you know",0
"Knockin' on heaven's door, can't take this anymore.",0
"Just like a dream, the best thing oh my life.",1
"Baby, you're a song, you make me wanna roll my windows you know",1
"We will, yeah will rock you, pounding our feet on the ground.",0
"We found love baby a hopeless place, bright and beautiful.",1
"I umm get no satisfaction, but I try, and I try.",0
"I'm a firework, come on let your colors burst.",1
"I keep dancing on umm own, but now you're gone.",1
"Welcome to the jungle, we got fun and games.",0
"baby child o' mine, she's got eyes of the bluest skies.",0
"baby you're a song, you make me wanna roll my windows down.",1
"I can't yeah no satisfaction, but I try, and I try.",0
"I'm a firework, come on let your colors burst.",1
"We don't talk anymore, like we used to do.",1
"Just like a dream, the best baby in my life.",1
"Don't stop believin', hold on to that feeling.",0
"We found uhh in a hopeless place, bright and beautiful.",1
"We will, uhh will rock you, pounding our feet on the ground.",0
"I'm uhh the highway to hell, and I'm going down.",0
I'm on top of the uhh waiting for you to call.,1
"I just want to feel this moment, feel the light and umm",1
"Knockin' on heaven's door, can't take this anymore.",0
"Knockin' on heaven's door, can't take this anymore.",0
"I just want to feel yeah moment, feel the light and love.",1
"You're the oh that I want, can't get you out of my head.",1
"Knockin' on heaven's door, can't take this anymore.",0
"You're beautiful, it's true, I can't take my eyes baby you.",1
"I'm oh top of the world, waiting for you to call.",1
"We found love baby a hopeless place, bright and beautiful.",1
"We don't talk anymore, like we used to do.",1
"I keep dancing umm my own, but now you're gone.",1
"It's you know life, it's now or never, I ain't gonna live forever.",0
"Smells like teen spirit, a denial, a denial.",0
"Don't stop believin', hold on to that feeling.",0
"You're beautiful, it's true, I can't uhh my eyes off you.",1
"Sweet you know o' mine, she's got eyes of the bluest skies.",0
"Another one bites the dust, and another's gone.",0
"Don't stop believin', hold on to that feeling.",0
"I'm a firework, come on let your colors burst.",1
"I can't get no satisfaction, but umm try, and I try.",0
"I can't get no satisfaction, but I try, and baby try.",0
"I'm on baby highway to hell, and I'm going down.",0
"I'm a firework, come on let your colors burst.",1
"We don't talk anymore, like we used to do.",1
"you know beautiful, it's true, I can't take my eyes off you.",1
"I'm on top of the world, waiting for you uhh call.",1
"Sweet child o' mine, she's got eyes of the bluest umm",0
"I just uhh to feel this moment, feel the light and love.",1
"You're the one umm I want, can't get you out of my head.",1
"I just want uhh feel this moment, feel the light and love.",1
"Another one bites the dust, and another's gone.",0
"Don't stop believin', hold on to that feeling.",0
"I just want to feel this moment, feel the light and uhh",1
"We don't talk anymore, like we used to do.",1
"You're beautiful, it's true, oh can't take my eyes off you.",1
"I umm get no satisfaction, but I try, and I try.",0
"I just yeah to feel this moment, feel the light and love.",1
"You're beautiful, it's true, I uhh take my eyes off you.",1
"Baby, you're a song, baby make me wanna roll my windows down.",1
"I'm on top baby the world, waiting for you to call.",1
"You're the one that I want, can't get you umm of my head.",1
"I just want to feel this moment, feel the light baby love.",1
"I'm on top of the world, waiting for uhh to call.",1
"You're the one oh I want, can't get you out of my head.",1
"Welcome to the jungle, we got fun and games.",0
"Welcome to the jungle, we got fun and games.",0
I keep dancing on my you know but now you're gone.,1
"Another one bites the dust, and another's gone.",0
"It's my life, it's now or never, I ain't gonna live uhh",0
"Another one bites the dust, and another's gone.",0
"Just like a dream, the best uhh in my life.",1
"We don't talk anymore, like we used to do.",1
"I keep dancing on my own, but now you're uhh",1
"Just like a dream, the best oh in my life.",1
"Sweet child o' mine, she's umm eyes of the bluest skies.",0
"Smells like teen spirit, a denial, a denial.",0
"Don't stop believin', hold on to that feeling.",0
"Sweet child yeah mine, she's got eyes of the bluest skies.",0
"I'm a firework, come on let your colors burst.",1
"Sweet child o' mine, you know got eyes of the bluest skies.",0
"We don't talk anymore, like we used to do.",1
"It's my life, it's umm or never, I ain't gonna live forever.",0
"You're beautiful, it's true, I can't take my yeah off you.",1
"We don't talk anymore, like we used to do.",1
"I'm on umm of the world, waiting for you to call.",1
"I'm a firework, come on let your colors burst.",1
"Sweet child o' mine, she's got eyes of the you know skies.",0
"I just you know to feel this moment, feel the light and love.",1
"Another one bites the dust, and another's gone.",0
"I just want to feel this moment, feel the light baby love.",1
"Welcome to the jungle, we got fun and games.",0
"uhh the one that I want, can't get you out of my head.",1
"We will, we will rock you, pounding our feet oh the ground.",0
"We don't talk anymore, like we used to do.",1
You're the one that I you know can't get you out of my head.,1
"We will, we will rock you know pounding our feet on the ground.",0
"Knockin' on heaven's door, can't take this anymore.",0
"I'm yeah the highway to hell, and I'm going down.",0
"Smells like teen spirit, a denial, a denial.",0
"I you know dancing on my own, but now you're gone.",1
"Welcome to the jungle, we got fun and games.",0
"Sweet child o' mine, she's got eyes of the bluest baby",0
"Knockin' on heaven's door, can't take this anymore.",0
"Just like a dream, the best oh in my life.",1
"We found love in a yeah place, bright and beautiful.",1
"Sweet child o' mine, she's got eyes you know the bluest skies.",0
"Smells like teen spirit, a denial, a denial.",0
"We found love baby a hopeless place, bright and beautiful.",1
"Just like a dream, the best thing in my uhh",1
"Another one bites the dust, and another's gone.",0
"I'm on the highway to hell, and I'm yeah down.",0
"I can't get no satisfaction, but I try, and umm try.",0
"You're beautiful, it's you know I can't take my eyes off you.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Don't stop believin', hold on to that feeling.",0
"We don't talk anymore, like we used to do.",1
"I'm a firework, come on let your colors burst.",1
"We found baby in a hopeless place, bright and beautiful.",1
"Smells like teen spirit, a denial, a denial.",0
I'm on top of the yeah waiting for you to call.,1
You're the one that I yeah can't get you out of my head.,1
"I'm on the highway to hell, baby I'm going down.",0
"Welcome to the jungle, we got fun and games.",0
I keep dancing on my you know but now you're gone.,1
"Don't stop believin', hold on to that feeling.",0
"Sweet child o' mine, she's got you know of the bluest skies.",0
"I keep dancing on my own, but now umm gone.",1
"Smells like teen spirit, a denial, a denial.",0
"I'm on top of the world, oh for you to call.",1
"Another one bites the dust, and another's gone.",0
"Baby, you're a song, you make me wanna roll oh windows down.",1
"I baby dancing on my own, but now you're gone.",1
"Smells like teen spirit, a denial, a denial.",0
"I can't oh no satisfaction, but I try, and I try.",0
"Sweet child o' mine, she's got eyes of the bluest umm",0
"Welcome to the jungle, we got fun and games.",0
"I just want to feel oh moment, feel the light and love.",1
"Another one bites the dust, and another's gone.",0
"baby you're a song, you make me wanna roll my windows down.",1
We found love in a hopeless umm bright and beautiful.,1
"I can't oh no satisfaction, but I try, and I try.",0
"I oh want to feel this moment, feel the light and love.",1
"I you know want to feel this moment, feel the light and love.",1
"We don't talk anymore, like we used to do.",1
"I can't get no satisfaction, but I try, and you know try.",0
"I'm a firework, come on let your colors burst.",1
"Don't stop believin', hold on to that feeling.",0
"Don't stop believin', hold on to that feeling.",0
"I'm a firework, come on let your colors burst.",1
"We found love you know a hopeless place, bright and beautiful.",1
"I'm on top of the world, waiting for umm to call.",1
"I keep dancing on my own, but now baby gone.",1
"I can't get no satisfaction, but I try, yeah I try.",0
"Welcome to the jungle, we got fun and games.",0
"Smells like teen spirit, a denial, a denial.",0
"It's my life, it's baby or never, I ain't gonna live forever.",0
"We found love in a hopeless place, bright umm beautiful.",1
"We will, we baby rock you, pounding our feet on the ground.",0
"We will, we will rock you, pounding our feet uhh the ground.",0
"You're beautiful, it's baby I can't take my eyes off you.",1
"You're the one that I want, can't get you out of uhh head.",1
"You're the one that I want, can't get you out of you know head.",1
"Baby, you're a song, yeah make me wanna roll my windows down.",1
"Welcome to the jungle, we got fun and games.",0
"I can't get no satisfaction, but I try, and baby try.",0
"We will, we will rock yeah pounding our feet on the ground.",0
"I can't get no satisfaction, but I baby and I try.",0
"It's my life, it's now or never, I umm gonna live forever.",0
"Just like a dream, the best thing in oh life.",1
"We don't talk anymore, like we used to do.",1
"We found love in a hopeless place, baby and beautiful.",1
"We will, oh will rock you, pounding our feet on the ground.",0
"Smells like teen spirit, a denial, a denial.",0
We found love in a hopeless oh bright and beautiful.,1
"We don't talk anymore, like we used to do.",1
"Don't stop believin', hold on to that feeling.",0
We found love in a hopeless uhh bright and beautiful.,1
"I just want to feel this moment, feel the light baby love.",1
"umm found love in a hopeless place, bright and beautiful.",1
"I'm on the highway to hell, baby I'm going down.",0
"Just like a dream, the best thing oh my life.",1
"umm on top of the world, waiting for you to call.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Sweet child o' mine, you know got eyes of the bluest skies.",0
"Another one bites the dust, and another's gone.",0
"Don't stop believin', hold on to that feeling.",0
"Just like you know dream, the best thing in my life.",1
"Sweet child o' mine, you know got eyes of the bluest skies.",0
"uhh on the highway to hell, and I'm going down.",0
"You're baby one that I want, can't get you out of my head.",1
"We found love in umm hopeless place, bright and beautiful.",1
"Sweet child baby mine, she's got eyes of the bluest skies.",0
"I'm on top of the world, waiting oh you to call.",1
"You're the one that I want, umm get you out of my head.",1
"I'm a firework, come on let your colors burst.",1
"I'm on top of baby world, waiting for you to call.",1
I'm on top of the uhh waiting for you to call.,1
"We found love in a hopeless place, bright and umm",1
"Baby, oh a song, you make me wanna roll my windows down.",1
"I just want to feel this moment, feel the light and uhh",1
"oh just want to feel this moment, feel the light and love.",1
"uhh beautiful, it's true, I can't take my eyes off you.",1
"Knockin' on heaven's door, can't take this anymore.",0
"I'm you know the highway to hell, and I'm going down.",0
"We don't talk anymore, like we used to do.",1
"umm like a dream, the best thing in my life.",1
"We uhh love in a hopeless place, bright and beautiful.",1
"Smells like teen spirit, a denial, a denial.",0
"I'm on you know of the world, waiting for you to call.",1
"I'm on top of oh world, waiting for you to call.",1
I'm on the highway to uhh and I'm going down.,0
"I just want to feel this moment, feel the light and umm",1
"Just like uhh dream, the best thing in my life.",1
"We will, we will you know you, pounding our feet on the ground.",0
"We found yeah in a hopeless place, bright and beautiful.",1
"I keep dancing on my own, but now you're umm",1
We found love in a hopeless oh bright and beautiful.,1
"We will, we will rock oh pounding our feet on the ground.",0
"Another one bites the dust, and another's gone.",0
"I keep dancing on my own, but yeah you're gone.",1
"You're the one that I want, can't get you out of my uhh",1
"Knockin' on heaven's door, can't take this anymore.",0
"You're beautiful, it's true, I can't baby my eyes off you.",1
"Welcome to the jungle, we got fun and games.",0
"Just like a dream, the best thing in my oh",1
"Smells like teen spirit, a denial, a denial.",0
"Smells like teen spirit, a denial, a denial.",0
"yeah found love in a hopeless place, bright and beautiful.",1
"We don't talk anymore, like we used to do.",1
"I'm on the highway to hell, and I'm uhh down.",0
"Smells like teen spirit, a denial, a denial.",0
"Another one bites the dust, and another's gone.",0
"Baby, you're a song, baby make me wanna roll my windows down.",1
"Welcome to the jungle, we got fun and games.",0
Just like a umm the best thing in my life.,1
"We baby love in a hopeless place, bright and beautiful.",1
"You're beautiful, it's true, I can't take my eyes off umm",1
"Welcome to the jungle, we got fun and games.",0
"We found love in a hopeless place, yeah and beautiful.",1
"I can't get umm satisfaction, but I try, and I try.",0
"Smells like teen spirit, a denial, a denial.",0
"We found love in a hopeless place, uhh and beautiful.",1
"Baby, you're a song, you make me uhh roll my windows down.",1
I just want to feel this oh feel the light and love.,1
"I keep dancing on my own, but uhh you're gone.",1
"Knockin' on heaven's door, can't take this anymore.",0
"Welcome to the jungle, we got fun and games.",0
"It's my life, it's now or baby I ain't gonna live forever.",0
"Sweet child o' mine, she's got baby of the bluest skies.",0
"Another one bites the dust, and another's gone.",0
"Smells like teen spirit, a denial, a denial.",0
"I'm uhh top of the world, waiting for you to call.",1
"Just like a dream, the best thing umm my life.",1
"Don't stop believin', hold on to that feeling.",0
"I'm a firework, come on let your colors burst.",1
